계약번호,단계,순서,작업명,담당자,계획일,실제완료일,상태,결과메모
C0012,이행,1,발주(PO) 발행,박계약,2025-01-30,2025-01-29,완료,
C0012,이행,2,납품/검수,김구매,2025-02-01,2025-02-02,완료,
C0012,이행,3,대금지급,김구매,2025-02-03,2025-02-02,완료,
C0012,종료,1,최종정산,정검수,2025-05-05,2025-05-08,완료,
C0012,종료,2,하자보증기간 관리,이조달,2025-05-07,2025-05-07,완료,
C0012,종료,3,실적증명서 수취,김구매,2025-05-06,2025-05-06,완료,해당없음(민간발주)
C0012,종료,4,갱신여부 판단,이조달,2025-05-11,2025-05-11,완료,
C0012,종료,5,계약종료처리,최법무,2025-05-13,2025-05-11,완료,
C0013,계약전,1,구매요청(PR) 등록,김구매,2024-05-12,2024-05-13,완료,
C0013,계약전,2,견적비교(RFQ),김구매,2024-05-14,2024-05-15,완료,
C0013,계약전,3,공급업체 선정,이조달,2024-05-16,2024-05-17,완료,
C0013,계약체결,1,계약서 초안 작성,최법무,2024-06-03,2024-06-03,완료,
C0013,계약체결,2,법무검토,김구매,2024-06-05,2024-06-08,완료,
C0013,계약체결,3,계약이행보증 가입확인,이조달,2024-06-07,2024-06-08,완료,가입완료
C0013,계약체결,4,선급금보증 가입확인,정검수,2024-06-09,2024-06-08,완료,미가입(확인필요)
C0013,계약체결,5,날인/계약등록,이조달,2024-06-11,2024-06-14,완료,
C0013,이행,1,발주(PO) 발행,정검수,2024-09-09,2024-09-12,완료,
C0013,이행,2,납품/검수,박계약,2024-09-11,2024-09-13,완료,
C0013,이행,3,대금지급,김구매,2024-09-13,2024-09-12,완료,
C0013,종료,1,최종정산,김구매,2025-01-22,2025-01-20,완료,
C0013,종료,2,하자보증기간 관리,박계약,2025-01-24,2025-01-23,완료,
C0013,종료,3,실적증명서 수취,박계약,2025-01-23,2025-01-23,완료,해당없음(민간발주)
C0013,종료,4,갱신여부 판단,김구매,2025-01-28,2025-01-30,완료,
C0013,종료,5,계약종료처리,최법무,2025-01-30,2025-01-29,완료,
C0014,계약전,1,구매요청(PR) 등록,박계약,2024-03-11,2024-03-12,완료,
C0014,계약전,2,견적비교(RFQ),김구매,2024-03-13,2024-03-14,완료,
C0014,계약전,3,공급업체 선정,김구매,2024-03-15,2024-03-15,완료,
C0014,계약체결,1,계약서 초안 작성,박계약,2024-04-14,2024-04-13,완료,
C0014,계약체결,2,법무검토,박계약,2024-04-16,2024-04-18,완료,
C0014,계약체결,3,계약이행보증 가입확인,김구매,2024-04-18,2024-04-16,완료,가입완료
C0014,계약체결,4,선급금보증 가입확인,최법무,2024-04-16,2024-04-16,완료,해당없음(선급금 미지급)
C0014,계약체결,5,날인/계약등록,최법무,2024-04-22,2024-04-21,완료,
C0014,이행,1,발주(PO) 발행,김구매,2024-08-17,2024-08-16,완료,
C0014,이행,2,납품/검수,박계약,2024-08-19,2024-08-21,완료,
C0014,이행,3,대금지급,이조달,2024-08-21,2024-08-21,완료,
C0014,종료,1,최종정산,이조달,2025-02-17,2025-02-19,완료,
C0014,종료,2,하자보증기간 관리,정검수,2025-02-19,2025-02-19,완료,
C0014,종료,3,실적증명서 수취,박계약,2025-02-18,2025-02-18,완료,해당없음(민간발주)
C0014,종료,4,갱신여부 판단,정검수,2025-02-23,2025-02-22,완료,
C0014,종료,5,계약종료처리,김구매,2025-02-25,2025-02-28,완료,
C0015,계약전,1,구매요청(PR) 등록,최법무,2025-02-16,2025-02-15,완료,
C0015,계약전,2,견적비교(RFQ),정검수,2025-02-18,2025-02-16,완료,
C0015,계약전,3,공급업체 선정,이조달,2025-02-20,2025-02-19,완료,
C0015,계약체결,1,계약서 초안 작성,최법무,2025-03-04,2025-03-07,완료,
C0015,계약체결,2,법무검토,최법무,2025-03-06,2025-03-05,완료,
C0015,계약체결,3,계약이행보증 가입확인,최법무,2025-03-08,2025-03-10,완료,가입완료
C0015,계약체결,4,선급금보증 가입확인,김구매,2025-03-06,2025-03-06,완료,해당없음(선급금 미지급)
C0015,계약체결,5,날인/계약등록,김구매,2025-03-12,2025-03-14,완료,
C0015,이행,1,발주(PO) 발행,정검수,2025-05-02,2025-05-05,완료,
C0015,이행,2,납품/검수,정검수,2025-05-04,2025-05-06,완료,
C0015,이행,3,대금지급,이조달,2025-05-06,2025-05-04,완료,
C0015,종료,1,최종정산,이조달,2025-07-15,2025-07-14,완료,
C0015,종료,2,하자보증기간 관리,정검수,2025-07-17,2025-07-15,완료,
C0015,종료,3,실적증명서 수취,김구매,2025-07-16,2025-07-16,완료,해당없음(민간발주)
C0015,종료,4,갱신여부 판단,김구매,2025-07-21,2025-07-21,완료,
C0015,종료,5,계약종료처리,정검수,2025-07-23,2025-07-23,완료,
C0016,계약전,1,구매요청(PR) 등록,김구매,2025-11-01,2025-10-31,완료,
C0016,계약전,2,견적비교(RFQ),정검수,2025-11-03,2025-11-05,완료,
C0016,계약전,3,공급업체 선정,김구매,2025-11-05,2025-11-05,완료,
C0016,계약체결,1,계약서 초안 작성,박계약,2025-12-02,2025-12-05,완료,
C0016,계약체결,2,법무검토,박계약,2025-12-04,2025-12-07,완료,
C0016,계약체결,3,계약이행보증 가입확인,김구매,2025-12-06,2025-12-09,완료,면제(소액계약)
C0016,계약체결,4,선급금보증 가입확인,정검수,2025-12-04,2025-12-04,완료,해당없음(선급금 미지급)
C0016,계약체결,5,날인/계약등록,정검수,2025-12-10,2025-12-12,완료,
C0016,이행,1,발주(PO) 발행,박계약,2026-01-31,2026-01-29,완료,
C0016,이행,2,납품/검수,김구매,2026-02-02,2026-02-03,완료,
C0016,이행,3,대금지급,정검수,2026-02-04,2026-02-05,완료,
C0016,종료,1,최종정산,최법무,2026-04-16,2026-04-14,완료,
C0016,종료,2,하자보증기간 관리,이조달,2026-04-18,2026-04-17,완료,
C0016,종료,3,실적증명서 수취,김구매,2026-04-20,2026-04-23,완료,수취완료
C0016,종료,4,갱신여부 판단,이조달,2026-04-22,2026-04-25,완료,
C0016,종료,5,계약종료처리,김구매,2026-04-24,2026-04-27,완료,
C0017,계약전,1,구매요청(PR) 등록,박계약,2025-08-11,2025-08-14,완료,
C0017,계약전,2,견적비교(RFQ),최법무,2025-08-13,2025-08-14,완료,
C0017,계약전,3,공급업체 선정,정검수,2025-08-15,2025-08-17,완료,
C0017,계약체결,1,계약서 초안 작성,정검수,2025-09-21,2025-09-21,완료,
C0017,계약체결,2,법무검토,박계약,2025-09-23,2025-09-25,완료,
C0017,계약체결,3,계약이행보증 가입확인,박계약,2025-09-25,2025-09-23,완료,가입완료
C0017,계약체결,4,선급금보증 가입확인,박계약,2025-09-23,2025-09-23,완료,해당없음(선급금 미지급)
C0017,계약체결,5,날인/계약등록,최법무,2025-09-29,2025-09-29,완료,
C0017,이행,1,발주(PO) 발행,최법무,2025-10-25,2025-10-25,완료,
C0017,이행,2,납품/검수,정검수,2025-10-27,2025-10-25,완료,
C0017,이행,3,대금지급,이조달,2025-10-29,2025-10-27,완료,
C0017,종료,1,최종정산,정검수,2025-12-11,2025-12-12,완료,
C0017,종료,2,하자보증기간 관리,최법무,2025-12-13,2025-12-15,완료,
C0017,종료,3,실적증명서 수취,김구매,2025-12-12,2025-12-12,완료,해당없음(민간발주)
C0017,종료,4,갱신여부 판단,최법무,2025-12-17,2025-12-19,완료,
C0017,종료,5,계약종료처리,김구매,2025-12-19,2025-12-20,완료,
C0018,계약전,1,구매요청(PR) 등록,최법무,2025-07-23,2025-07-22,완료,
C0018,계약전,2,견적비교(RFQ),박계약,2025-07-25,2025-07-23,완료,
C0018,계약전,3,공급업체 선정,이조달,2025-07-27,2025-07-28,완료,
C0018,계약체결,1,계약서 초안 작성,김구매,2025-08-11,2025-08-13,완료,
C0018,계약체결,2,법무검토,최법무,2025-08-13,2025-08-12,완료,
C0018,계약체결,3,계약이행보증 가입확인,박계약,2025-08-15,2025-08-13,완료,가입완료
C0018,계약체결,4,선급금보증 가입확인,최법무,2025-08-17,2025-08-17,완료,가입완료
C0018,계약체결,5,날인/계약등록,정검수,2025-08-19,2025-08-17,완료,
C0018,이행,1,발주(PO) 발행,정검수,2026-01-07,2026-01-08,완료,
C0018,이행,2,납품/검수,김구매,2026-01-09,2026-01-10,완료,
C0018,이행,3,대금지급,이조달,2026-01-11,2026-01-11,완료,
C0018,종료,1,최종정산,정검수,2026-08-07,,진행중,
C0018,종료,2,하자보증기간 관리,김구매,2026-08-09,,진행중,
C0018,종료,3,실적증명서 수취,정검수,2026-08-08,2026-08-08,완료,해당없음(민간발주)
C0018,종료,4,갱신여부 판단,이조달,2026-08-13,,예정,
C0018,종료,5,계약종료처리,김구매,2026-08-15,,예정,
C0019,계약전,1,구매요청(PR) 등록,박계약,2025-11-18,2025-11-18,완료,
C0019,계약전,2,견적비교(RFQ),정검수,2025-11-20,2025-11-20,완료,
C0019,계약전,3,공급업체 선정,이조달,2025-11-22,2025-11-23,완료,
C0019,계약체결,1,계약서 초안 작성,정검수,2025-12-07,2025-12-06,완료,
C0019,계약체결,2,법무검토,정검수,2025-12-09,2025-12-08,완료,
C0019,계약체결,3,계약이행보증 가입확인,이조달,2025-12-11,2025-12-09,완료,면제(소액계약)
C0019,계약체결,4,선급금보증 가입확인,최법무,2025-12-13,2025-12-13,완료,가입완료
C0019,계약체결,5,날인/계약등록,정검수,2025-12-15,2025-12-15,완료,
C0019,이행,1,발주(PO) 발행,박계약,2026-03-25,2026-03-27,완료,
C0019,이행,2,납품/검수,최법무,2026-03-27,2026-03-25,완료,
C0019,이행,3,대금지급,이조달,2026-03-29,2026-03-31,완료,
C0019,종료,1,최종정산,김구매,2026-08-22,,예정,
C0019,종료,2,하자보증기간 관리,정검수,2026-08-24,,예정,
C0019,종료,3,실적증명서 수취,정검수,2026-08-23,2026-08-23,완료,해당없음(민간발주)
C0019,종료,4,갱신여부 판단,최법무,2026-08-28,,예정,
C0019,종료,5,계약종료처리,정검수,2026-08-30,,예정,
C0020,계약전,1,구매요청(PR) 등록,최법무,2025-11-05,2025-11-03,완료,
C0020,계약전,2,견적비교(RFQ),이조달,2025-11-07,2025-11-07,완료,
C0020,계약전,3,공급업체 선정,정검수,2025-11-09,2025-11-09,완료,
C0020,계약체결,1,계약서 초안 작성,이조달,2025-11-23,,지연,
C0020,계약체결,2,법무검토,김구매,2025-11-25,2025-11-26,완료,
C0020,계약체결,3,계약이행보증 가입확인,최법무,2025-11-27,2025-11-25,완료,가입완료
C0020,계약체결,4,선급금보증 가입확인,최법무,2025-11-29,2025-12-01,완료,가입완료
C0020,계약체결,5,날인/계약등록,김구매,2025-12-01,2025-11-29,완료,
C0020,이행,1,발주(PO) 발행,박계약,2026-03-26,,지연,
C0020,이행,2,납품/검수,정검수,2026-03-28,2026-03-30,완료,
C0020,이행,3,대금지급,박계약,2026-03-30,2026-03-31,완료,
C0020,종료,1,최종정산,김구매,2026-09-17,,예정,
C0020,종료,2,하자보증기간 관리,최법무,2026-09-19,,예정,
C0020,종료,3,실적증명서 수취,정검수,2026-09-18,2026-09-18,완료,해당없음(민간발주)
C0020,종료,4,갱신여부 판단,최법무,2026-09-23,,예정,
C0020,종료,5,계약종료처리,김구매,2026-09-25,,예정,
C0021,계약전,1,구매요청(PR) 등록,박계약,2025-08-28,2025-08-28,완료,
C0021,계약전,2,견적비교(RFQ),최법무,2025-08-30,2025-08-29,완료,
C0021,계약전,3,공급업체 선정,최법무,2025-09-01,2025-09-01,완료,
C0021,계약체결,1,계약서 초안 작성,최법무,2025-09-16,,지연,
C0021,계약체결,2,법무검토,김구매,2025-09-18,2025-09-18,완료,
C0021,계약체결,3,계약이행보증 가입확인,박계약,2025-09-20,2025-09-21,완료,가입완료
C0021,계약체결,4,선급금보증 가입확인,박계약,2025-09-22,2025-09-24,완료,가입완료
C0021,계약체결,5,날인/계약등록,정검수,2025-09-24,2025-09-22,완료,
C0021,이행,1,발주(PO) 발행,김구매,2026-02-17,,지연,
C0021,이행,2,납품/검수,정검수,2026-02-19,2026-02-19,완료,
C0021,이행,3,대금지급,최법무,2026-02-21,2026-02-22,완료,
C0021,종료,1,최종정산,정검수,2026-09-27,,예정,
C0021,종료,2,하자보증기간 관리,김구매,2026-09-29,,예정,
C0021,종료,3,실적증명서 수취,정검수,2026-10-01,,예정,
C0021,종료,4,갱신여부 판단,김구매,2026-10-03,,예정,
C0021,종료,5,계약종료처리,김구매,2026-10-05,,예정,
