사번,이름,포지션,입사일,재직상태,퇴사일,근속개월수,그룹,이력서요약
E0027,직원27,구매,2025-06-29,퇴사,2025-10-29,4,조기퇴사(위험패턴),관련 분야에서 실무 경력을 쌓았습니다. 대학 시절 동아리 활동과 외부 컨퍼런스에서 발표하는 등 대외 활동에 적극적이었습니다.
E0028,직원28,영업,2025-11-20,퇴사,2026-01-20,2,조기퇴사(위험패턴),맡은 업무는 성실하게 수행했습니다. 다양한 이해관계자와 협의하며 업무를 조율하는 데 익숙합니다. 담당 업무를 안정적으로 수행했습니다.
E0029,직원29,경영지원,2025-11-08,퇴사,2026-01-08,2,조기퇴사(위험패턴),이전 직장에서 여러 프로젝트를 동시에 병행하며 우선순위를 조정하는 능력을 길렀습니다. 타 부서와 정기적으로 협업하며 공동으로 진행한 프로젝트를 성공적으로 완료했습니다. 온라인 스터디 그룹을 직접 개설하여 커뮤니티를 운영한 경험이 있습니다. 담당 업무를 안정적으로 수행했습니다.
E0030,직원30,영업,2025-04-12,퇴사,2025-09-12,5,조기퇴사(위험패턴),한 번에 한 가지 업무만 처리하는 것을 선호합니다. 새로운 기술을 빠르게 습득하여 실무에 바로 적용하는 것을 즐깁니다. 관련 분야에서 실무 경력을 쌓았습니다.
E0031,직원31,경영지원,2023-02-22,퇴사,2026-01-22,35,"기타(참고용, 프로파일 학습 제외)",담당 업무를 안정적으로 수행했습니다. 학교나 회사 밖 모임에는 참여한 적이 없습니다. 새로운 기술을 빠르게 습득하여 실무에 바로 적용하는 것을 즐깁니다.
E0032,직원32,개발,2024-04-18,퇴사,2025-09-18,17,"기타(참고용, 프로파일 학습 제외)",타 부서와 정기적으로 협업하며 공동으로 진행한 프로젝트를 성공적으로 완료했습니다. 주로 단독으로 업무를 수행하는 것을 선호하며 개인 프로젝트 위주로 경력을 쌓았습니다. 정해진 업무를 지시받은 대로 처리하는 데 익숙합니다.
E0033,직원33,개발,2026-02-28,재직중,,5,"기타(참고용, 프로파일 학습 제외)",봉사활동과 재능기부 모임에 꾸준히 참여해왔습니다. 팀 내 이슈가 생기면 주도적으로 나서서 해결 방안을 제안하고 실행했습니다. 관련 분야에서 실무 경력을 쌓았습니다.
E0034,직원34,영업,2023-09-12,퇴사,2025-07-12,22,"기타(참고용, 프로파일 학습 제외)",고객사와의 소통 및 보고를 담당하며 설득력 있는 커뮤니케이션 역량을 키웠습니다. 담당 업무를 안정적으로 수행했습니다. 한 번에 한 가지 업무만 처리하는 것을 선호합니다.
E0035,직원35,경영지원,2023-08-29,퇴사,2025-12-29,28,"기타(참고용, 프로파일 학습 제외)",담당 업무를 안정적으로 수행했습니다. 봉사활동과 재능기부 모임에 꾸준히 참여해왔습니다. 다양한 이해관계자와 협의하며 업무를 조율하는 데 익숙합니다. 주로 단독으로 업무를 수행하는 것을 선호하며 개인 프로젝트 위주로 경력을 쌓았습니다.
E0036,직원36,구매,2025-05-24,퇴사,2026-01-24,8,"기타(참고용, 프로파일 학습 제외)",담당 업무를 안정적으로 수행했습니다. 온라인 스터디 그룹을 직접 개설하여 커뮤니티를 운영한 경험이 있습니다. 새로운 기술을 빠르게 습득하여 실무에 바로 적용하는 것을 즐깁니다.
E0037,직원37,개발,2023-04-17,퇴사,2025-04-17,24,"기타(참고용, 프로파일 학습 제외)",담당 업무를 안정적으로 수행했습니다. 온라인 스터디 그룹을 직접 개설하여 커뮤니티를 운영한 경험이 있습니다. 타 부서와 정기적으로 협업하며 공동으로 진행한 프로젝트를 성공적으로 완료했습니다. 관련 분야에서 실무 경력을 쌓았습니다.
